XRF Depth,SiO2,CaO,MgO,Al2O3,Fe2O3,K2O,AF10,AF20,AF30,AF60,AF90,AO10,AO20,AO30,AO60,AO90,AT10,AT20,AT30,AT60,AT90,AFCO60,AORT,AORX,BFV,CBP1,CBP2,CBP3,CBP4,CBP5,CBP6,CBP7,CBP8,CDF,CFTC,CMFF,CMFF_SIG,CMR_PHI_CO,CMRP_3MS,CNTC,CTEM,DCAL,DNPH,DPHZ,DPH8,DSOZ,DWAL_WALK2,DWCA_WALK2,DWFE_WALK2,DWGD_WALK2,DWSI_WALK2,DWSU_WALK2,DWTI_WALK2,ECGR,ECST,ESUF_WALK2,GDEV,GR,GR_EDTC,GTEM,HCAL,HDRA,HDRB,HGR,HMIN,HMNO,HNPO,HPRA,HTNP,KSDR,KTIM,NPHI,NPOR,PEF8,PEFZ,PXND_HILT,QCPMT,RHGE_WALK2,RHO8,RHOZ,RSOZ,RXO8,RXOZ,SP,SPAR,STIT,T2LM,T2LM_SIG,TCMR,TENS,TNPH,WCAR_WALK2,WCLA_WALK2,WPYR_WALK2,WQFM_WALK2,DTCO,DTSM
10855,78.73491845,1.799083942,1.386746228,12.4289081,2.916010802,2.734332478,42.583,79.6168,85.7539,77.0154,74.2428,45.066,88.5898,98.0402,85.98,87.8218,44.4614,87.2362,94.752,85.985,79.976,12.9844,93.0543,19.0908,0.0224,0.004,0.0041,0.0089,0.0071,0.0001,0.001,0,0,1526.2327,3129.7905,0.0027,0.0033,0.0008,0.0171,4693.8853,189.2706,0.0514,-0.0086,0.0329,0.0295,0,0.033,0.1276,0.018,9.0699,0.2612,0.0081,0.0026,84.4006,58.8674,0.4377,2.2321,80.3634,89.4809,188.8394,8.8014,-0.0016,0.0082,76.0549,136.3403,121.9334,0.0751,0.0414,0.0757,0,0.0001,0.0779,0.0734,3.7699,3.6771,0.0718,0.2811,2.7074,2.6595,2.6537,0.0009,177.0265,133.7515,-233.3393,-233.3624,0,5.2329,-999.25,0.0252,4738.667,0.0757,0.2681,0.1658,0.0151,0.551,63.1675,103.9371
10856,74.5561784,8.438716959,0,11.45720901,3.022924484,2.524971152,41.8122,78.6322,85.5272,75.9588,73.2046,39.3619,73.9263,77.2376,69.6067,71.002,39.9832,72.747,78.9229,71.4264,68.0339,13.165,76.0927,18.5458,0.0451,0.0095,0.0146,0.013,0.0108,0.0002,0.0004,0.0004,0,1526.0825,2882.7847,0.0038,0.0037,0.0008,0.0248,4582.709,189.2706,0.0476,-0.0089,0.0421,0.0389,0.0454,0.0363,0.0932,0.0198,8.0413,0.2957,0.0071,0.0037,95.6203,58.8674,0.4785,2.4483,91.0628,96.6691,188.8394,8.7976,-0.0047,-0.0124,96.1597,83.1635,74.2466,0.1006,0.1023,0.0872,0.0003,0.0004,0.0913,0.0937,3.5097,3.6027,0.0825,0,2.7035,2.6435,2.6381,0.0001,106.3651,97.1367,-234.1213,-233.9346,0,3.5291,-999.25,0.0488,4751.2002,0.0871,0.1756,0.1824,0.0133,0.6286,62.6248,103.1688
10857,63.46110167,24.79985431,1.546892082,6.604574914,2.301859354,1.285717662,43.0656,84.7816,93.6149,83.2545,80.4253,38.1618,66.9468,69.5297,62.8456,63.9375,41.1516,73.8702,81.3794,73.7512,69.9872,12.0114,70.8149,17.283,0.0506,0.0086,0.0159,0.0177,0.0099,0,0,0,0.0011,1521.5203,2856.7112,0.0027,0.0039,0.0008,0.0288,4615.2388,189.2706,0.0306,-0.0088,0.0515,0.0431,0.0779,0.035,0.1256,0.0196,8.6392,0.2596,0.0031,0.0033,96.276,57.6968,0.4682,2.4131,91.7599,97.315,188.8394,8.7806,-0.0098,-0.042,94.0967,66.808,59.5984,0.0896,0.1772,0.0906,0.0005,0.0003,0.0969,0.096,3.6402,3.7929,0.0866,0.0565,2.7041,2.6364,2.6219,0.0001,85.3742,94.6067,-234.8162,-234.5617,0,3.8814,-999.25,0.0534,4677.6001,0.0906,0.2629,0.1758,0.0058,0.5555,62.2023,102.8448
10858,70.58146074,10.5366793,2.479495621,10.87740728,3.280415484,2.244541581,45.8688,99.1572,111.7693,98.6219,95.2247,56.8793,184.0335,158.3529,145.1476,149.2435,51.8609,131.7867,148.6808,131.5581,119.636,10.1397,157.7345,16.2185,0.0239,0.0025,0.0028,0.0132,0.007,0.0005,0,0,0.0009,1523.2567,3289.1211,0.0031,0.0038,0.0008,0.0216,4915.2559,189.2706,0.0322,-0.0084,0.0336,0.0363,0.0378,0.0381,0.1518,0.0208,5.9369,0.2241,0.0093,0.0032,81.2699,57.6968,0.4451,2.4874,77.4521,82.7146,188.8394,8.7822,-0.0045,-0.0168,77.0209,193.6326,173.3342,0.0699,0.0746,0.075,0.0001,0.0001,0.0699,0.0689,4.0249,4.0032,0.0713,0.0276,2.718,2.6479,2.6526,0.0035,256.4568,234.8242,-235.3419,-235.1945,0,6.7362,-999.25,0.0269,4744.8335,0.075,0.3334,0.1916,0.0174,0.4576,61.8523,102.3966
10858.6,73.88249155,9.936467639,1.55140361,9.612431157,2.978497158,2.03870888,46.9453,106.4029,121.0927,104.4796,101.0128,53.1536,164.6363,159.2885,140.3269,143.7742,49.1626,124.8503,145.5327,130.108,118.6868,9.5712,150.5198,15.3446,0.0245,0.0071,0.0011,0.0117,0.0052,0.0001,0,0,0.0006,1524.6786,3522.895,0.0013,0.0039,0.0008,0.0176,5004.0713,189.2706,0.0306,-0.0082,0.0237,0.0123,0.0115,0.0428,0.1383,0.0231,4.5672,0.2319,0.0127,0.0035,77.1352,57.6968,0.462,2.2657,73.517,77.1878,188.8394,8.7806,-0.0014,0.003,67.4931,264.9279,237.2441,0.0513,0.0137,0.0658,0,0,0.0601,0.0537,4.2015,4.0134,0.0624,0.1718,2.7239,2.689,2.6694,0.0016,354.7355,214.6049,-235.3768,-235.5098,0,4.0394,-999.25,0.0258,4710.0005,0.0658,0.2971,0.2153,0.0237,0.4638,61.5658,101.7021
10860,72.39481393,10.30820597,1.848611496,10.40180923,2.928797799,2.117761573,51.9988,133.2266,158.405,128.2888,123.2966,49.6678,118.993,111.5584,98.8311,100.8706,49.7188,113.3713,136.6859,111.3876,105.4423,7.7949,118.2071,14.1655,0.0364,0.01,0.0072,0.0156,0.0036,0,0.0004,0.0024,0.0001,1525.5216,3441.8831,0.0029,0.004,0.0008,0.0221,5166.1743,189.2706,0.0129,-0.0083,0.0274,0.0233,0,0.046,0.1252,0.0239,2.7023,0.2425,0.023,0.0027,81.4615,58.8674,0.4244,2.032,77.7047,77.4549,188.8394,8.7629,-0.0023,-0.0083,77.9268,103.5077,92.5077,0.0866,0.0579,0.0758,0.0001,0.0002,0.0812,0.0874,3.8821,3.9343,0.0713,0.3329,2.7354,2.6701,2.6631,0.0014,133.6936,146.3874,-236.3603,-236.475,0,3.853,-999.25,0.0393,4662,0.0758,0.2618,0.2314,0.043,0.4638,59.2588,99.5382
10861,67.97185677,21.85471953,0,6.530177786,2.444334984,1.198910926,56.4797,170.2961,208.5233,157.9922,150.6621,68.2543,299.1865,349.2911,213.1261,219.8592,64.2718,277.9289,325.0641,215.1059,218.449,6.3294,227.1325,13.9643,0.0252,0.0012,0.0052,0.0111,0.0085,0,0.0001,0.003,0.001,1521.1254,4134.1807,0.005,0.0042,0.0008,0.0237,5563.4731,189.2706,0.0014,-0.0077,0.022,0.0185,0,0.037,0.1711,0.0197,3.2195,0.2039,0.0173,0.0013,62.3735,58.8674,0.3621,1.8353,59.5292,70.6482,188.8394,8.7514,-0.0019,-0.0089,58.2276,310.7042,278.4866,0.0544,0.0314,0.0566,0.0004,0.0003,0.0506,0.0554,4.1033,4.1265,0.0543,0.195,2.7288,2.6783,2.6724,0.0056,437.2251,394.9529,-237.1158,-237.0789,0,11.4132,-999.25,0.0302,4690.1665,0.0566,0.3853,0.186,0.0323,0.3964,59.1136,99.1482
10862,61.27072853,27.79822766,1.40330325,5.851668981,2.640529213,1.035542362,54.8292,155.539,189.8772,153.3199,140.5502,65.2126,337.636,321.9391,208.7988,216.0272,62.1272,264.7872,295.3026,235.2362,203.2577,6.5223,225.8408,12.808,0.0256,0.0008,0.0053,0.009,0.0125,0,0.0005,0.0021,0.0001,1523.2465,4769.9155,0.0048,0.004,0.0008,0.0243,5838.5957,189.2706,0.0052,-0.0072,0.0061,0.0006,0,0.0361,0.1791,0.0204,4.9275,0.195,0.0083,0.0011,51.129,58.8674,0.3635,1.7196,48.7887,63.3191,188.8394,8.7552,0.0007,0.0274,47.6746,430.3873,385.5758,0.0334,-0.0736,0.0422,0.0003,0.0003,0.0316,0.0353,4.3678,4.2058,0.0401,0.2273,2.7209,2.7089,2.6996,0.0048,1224.4758,811.9313,-237.4596,-237.6234,0,9.9985,-999.25,0.0304,4758.3999,0.0421,0.4068,0.1812,0.0155,0.3965,59.7823,99.3184
10863,72.30210026,12.2522209,1.481312074,8.848860783,3.364920589,1.750585392,47.0488,106.5195,126.9504,108.6493,100.2479,43.9036,98.921,111.0457,85.0022,86.4981,44.5243,100.2545,119.8083,103.9877,93.5632,9.2039,106.7569,11.8716,0.0197,0.0031,0.0077,0.001,0.0156,0.0038,0.0003,0.0004,0,1526.9436,4087.5554,0.012,0.0039,0.0008,0.021,5421.2437,189.2706,-0.0064,-0.0076,0.0118,0.0119,0,0.0411,0.1292,0.0238,6.0163,0.244,0.006,0.0013,66.2369,57.6968,0.3856,1.8846,63.2393,74.9638,188.8394,8.7436,0.0003,0.0291,61.5425,134.9101,120.6967,0.0494,-0.0397,0.0544,0.0003,0.0035,0.0539,0.0505,3.9312,3.9355,0.0514,0.1654,2.7159,2.6897,2.6898,0.0001,176.9224,171.7286,-237.796,-238.1192,0,8.6488,-999.25,0.0318,4698.6001,0.0544,0.2724,0.2067,0.0112,0.5097,60.8812,100.5058
10864,76.31503801,6.32881616,0.8054261982,11.39776011,2.717103872,2.435855648,41.7505,83.1217,96.9543,85.3536,79.9178,39.2939,70.9029,77.0624,68.3658,69.5223,39.4943,75.7056,87.1103,80.0221,72.2881,11.716,77.1499,13.1824,0.016,0.007,0.0071,0,0.0082,0.0082,0,0,0.0007,1525.6678,3090.0278,0.0152,0.0041,0.0008,0.0171,4881.9619,189.2706,-0.0179,-0.0085,0.035,0.0428,0,0.0406,0.1112,0.0228,5.5224,0.2665,0.0086,0.002,89.5785,57.6968,0.4294,1.8944,85.5709,86.3475,188.8394,8.7321,-0.0023,-0.0029,91.1277,67.8593,60.5405,0.1036,0.0465,0.0861,0.0002,0.0031,0.0916,0.1023,3.5283,3.6468,0.0806,0.1337,2.7141,2.6369,2.6501,0.0001,86.7243,103.2258,-238.4504,-238.5476,0,7.441,-999.25,0.0312,4737.5005,0.086,0.224,0.2041,0.0161,0.5558,61.7946,102.1399
